date,text,username,location,retweetcount,likecount,source,cleaned_text,Processed_Tweets,polarity,Sentiment
2022-10-16 16:39:45+00:00,@JoyceNwanochi @DataFestAfrica @saltypip @Yinkaoke @fresh_gb @OseghaleFaithO1 @TheOyinbooke @rachel_e_reader And it keeps growing....,eomereji,port harcourt  nigeria,0,0,Twitter Web App,        and it keeps growing,keep growing,0.0,Positive
2022-10-16 16:36:14+00:00,@KokoSandra @DavidAbu_ @DataFestAfrica Valid question.,Victoria_C_Dike,Unknown,0,0,Twitter for Android,   valid question,valid question,0.0,Positive
2022-10-16 16:35:59+00:00,@ZaynabKareem2 @DataFestAfrica @Adewaleanalyst @AhmedOyelowo Same. I attended both sessions and it was lovely.,Toriaa_B,Unknown,0,0,Twitter for Android,    same i attended both sessions and it was lovely,attended session lovely,0.5,Positive
2022-10-16 16:35:47+00:00,"@DavidAbu_ @Rita_tyna @DataFestAfrica Those that couldn't make it, how can we join?🥲🥲🥺🥺🥺",Victoria_C_Dike,Unknown,0,0,Twitter for Android,   those that couldnt make it how can we join🥲🥲🥺🥺🥺,make join🥲🥲🥺🥺🥺,0.0,Positive
2022-10-16 16:34:51+00:00,@LittleFireNenye @BenedictEjelonu @malcom_okonkwo @DataFestAfrica @DavidAbu_ congratulations,idhanry,nigeria rivers state,0,0,Twitter Web App,     congratulations,congratulation,0.0,Positive
2022-10-16 16:27:56+00:00,@MubarDauda @theadedolapo @DataFestAfrica @Microsoft @mr_toonie Definitely ☺️,ManLikeSIQ,way up you cant reach me,0,1,Twitter for Android,     definitely ☺️,definitely ☺️,0.0,Positive
2022-10-16 16:17:47+00:00,"Amazing time at #DataFestAfrica22, meeting and learning from everyone.

My highlight was definitely having a convo with @Opiano_1 &amp; @saltypip you guys were just natural.

@Xionne_ @Rita_tyna @Richie4love Nice seeing you.
@DavidAbu_ @GiftOjeabulu_ @TheOyinbooke  Great job guys ❤️. https://t.co/OTGMXrdhMu",Kiddojazz,lagos nigeria,2,3,Twitter Web App,amazing time at  meeting and learning from everyonemy highlight was definitely having a convo with  &amp;  you guys were just natural   nice seeing you    great job guys ❤️ ,amazing time meeting learning everyonemy highlight definitely convo & amp ; guy natural nice seeing great job guy ❤️,0.42000000000000004,Positive
2022-10-16 16:15:35+00:00,"Had an amazing experience at DataFestAfrica2022. It was whole lot honestly and I’m glad I was there live. Going back next year as a working data analyst and will surely sharpen my networking skills before then☺️
Kudos to the organizers.
@DataFestAfrica
#DataFestAfrica22 
#DF22 https://t.co/C2ekAITSL3",_dinmah_x,lagos,1,1,Twitter for iPhone,had an amazing experience at datafestafrica it was whole lot honestly and im glad i was there live going back next year as a working data analyst and will surely sharpen my networking skills before then☺️kudos to the organizers  ,amazing experience whole lot honestly glad live going back next year working data analyst surely sharpen networking skill then☺️kudos organizer,0.27662337662337666,Positive
2022-10-16 15:59:18+00:00,"@malcom_okonkwo @DataFestAfrica It's fine 🙂
Congratulations on winning the hackathon.",dosumu_adesola,lagos nigeria,0,0,Twitter Web App,  its fine congratulations on winning the hackathon,fine congratulation winning hackathon,0.45833333333333337,Positive
2022-10-16 15:58:57+00:00,@winni_og @DataFestAfrica You came too🥺,Chiideraa__,Unknown,0,0,Twitter for Android,  you came too🥺,came too🥺,0.0,Positive
2022-10-16 15:54:49+00:00,"Bought the ticket early but couldn't attend due to last-minute complications.

Nevertheless, I learnt a lot by streaming live. Superb work by the team and the amazing speakers.

Looking forward to #DataFestAfrica23 
@DataFestAfrica",TAgboeze,nsukka nigeria,0,0,Twitter Web App,bought the ticket early but couldnt attend due to last-minute complicationsnevertheless i learnt a lot by streaming live superb work by the team and the amazing speakerslooking forward to  ,bought ticket early attend due last-minute complicationsnevertheless learnt lot streaming live superb work team amazing speakerslooking forward,0.3422727272727273,Positive
2022-10-16 15:52:32+00:00,"@TheOyinbooke @japhletnwamu @TheOyinbooke, i would like to kindly request that the Next DataFest Africa program come to Abuja. I could not attend the one held in Lagos. What do you think sir",AreAbdulrazak,Unknown,0,0,Twitter Web App,   i would like to kindly request that the next datafest africa program come to abuja i could not attend the one held in lagos what do you think sir,would like kindly request next program come abuja could attend one held lagos think sir,0.3,Positive
2022-10-16 15:48:29+00:00,@Gem_mahh @Nomzzyy @vicSomadina @DataFestAfrica Congratulations to you guys. Your work was awesome,SSDansu,parts unknown,0,0,Twitter for Android,    congratulations to you guys your work was awesome,congratulation guy work awesome,1.0,Positive
2022-10-16 15:47:56+00:00,@vicSomadina @DataFestAfrica @Nomzzyy @Gem_mahh Congratulations,MotunEphphatha,lagos nigeria,0,0,Twitter for Android,    congratulations,congratulation,0.0,Positive
2022-10-16 15:47:08+00:00,"Datafest was the highlight of my week. I had so much fun connecting with the brightest minds in the Nigerian Data community. 
The amount of talent on ground is scary!
#DataFestAfrica22 #DFA22",SSDansu,parts unknown,0,1,Twitter for Android,datafest was the highlight of my week i had so much fun connecting with the brightest minds in the nigerian data community the amount of talent on ground is scary ,highlight week much fun connecting brightest mind nigerian data community amount talent ground scary,-0.1,Negative
2022-10-16 15:46:04+00:00,"The @DataFestAfrica  event has proved that there are lots of data professionals building solutions here in Nigeria and Africa as a whole, I’ll recommend #recruiters to leaverage this opportunity. 

#dataScientist #jobs #DataAnalytics #DataFestAfrica22",Shittu_Olumide_,ondo nigeria,0,0,Twitter for iPhone,the   event has proved that there are lots of data professionals building solutions here in nigeria and africa as a whole ill recommend  to leaverage this opportunity    ,event proved lot data professional building solution nigeria whole ill recommend leaverage opportunity,-0.06666666666666665,Negative
2022-10-16 15:42:42+00:00,@DavidAbu_ @DataFestAfrica Correct,dewunmifrost,nigeria,0,0,Twitter for Android,  correct,correct,0.0,Positive
2022-10-16 15:38:35+00:00,"#DFA22
#DataFestAfrica22 Day_2
Met my #LinkedIn friend https://t.co/sP6LSk4YOz",fattykenny007,lagos nigeria,0,0,Twitter for Android, day_met my  friend ,day_met friend,0.0,Positive
2022-10-16 15:36:39+00:00,"Proud to be a volunteer for #DataFestAfrica22 😌
Didn't take plenty pictures, idk why 🥲
The best part was meeting lots of amazing people in the data space 🤩 @FrankFelixAI, @JoyceNwanochi, @AbbyViz, @kachiengineers, @Mitchelle_Kayy, @TheOyinbooke, @DavidAbu_ 😁 and many others. https://t.co/VhP3FP7K1S",emmanuelani_,lagos nigeria,2,12,Twitter for Android,proud to be a volunteer for  didnt take plenty pictures idk why 🥲the best part was meeting lots of amazing people in the data space 🤩         and many others ,proud volunteer take plenty picture idk 🥲the best part meeting lot amazing people data space many others,0.7250000000000001,Positive
2022-10-16 15:35:03+00:00,"Dear Data Benders, you attended #DataFestAfrica22? Put this on your portfolio👇🏻
Major Conferences Attended
#DataFestAfrica22:Annual Conference of Data Professionals in Africa. Theme:? October 14-15, 2022 Venue:University of Lagos, Nigeria
@DavidAbu_ @TheOyinbooke @PauloDaguvnor",YomiAregbe,nigeria,0,0,Twitter for Android,dear data benders you attended  put this on your portfoliomajor conferences attendedannual conference of data professionals in africa theme october -  venueuniversity of lagos nigeria  ,dear data bender attended put portfoliomajor conference attendedannual conference data professional theme october - venueuniversity lagos nigeria,0.1,Positive
2022-10-16 15:25:37+00:00,"Thank you @DataFestAfrica
See you October 2023.💜 

@GiftOjeabulu_ 
@DavidAbu_ 
@TheDataEngrDuke 
@Comejoinfolks https://t.co/lgWFCfzycW",Shittu_Olumide_,ondo nigeria,4,10,Twitter for iPhone,thank you see you october      ,thank see october,0.0,Positive
2022-10-16 15:23:28+00:00,@malcom_okonkwo @Rita_tyna @Bi_oluwa_ti_fe @DataFestAfrica 😂😂😂😂😂😂.. My guy🙌🏾... Smooth😂,FrankFelixAI,lagos nigeria,0,0,Twitter for Android,     my guy smooth,guy smooth,0.4,Positive
2022-10-16 15:20:51+00:00,"#DFA22
It's all about #DataFestAfrica22
✨✨✨✨ https://t.co/M2GpBti6Ol",fattykenny007,lagos nigeria,0,2,Twitter for Android,its all about ✨✨✨✨ ,✨✨✨✨,0.0,Positive
2022-10-16 15:19:17+00:00,@Rita_tyna @DataFestAfrica When is the next one?,doziigeorge2,Unknown,0,0,Twitter Web App,  when is the next one,next one,0.0,Positive
2022-10-16 15:17:16+00:00,@Bi_oluwa_ti_fe @DataFestAfrica I did🥱😅,FrankFelixAI,lagos nigeria,0,0,Twitter for Android,  i did🥱,did🥱,0.0,Positive
2022-10-16 15:15:32+00:00,"Datafest was really awesome. Big ups guys. Next level things.
#DataFestAfrica22 https://t.co/Mqx2Uitc9s",fredido87,abuja nigeria,0,0,Twitter Web App,datafest was really awesome big ups guys next level things ,really awesome big ups guy next level thing,0.3333333333333333,Positive
2022-10-16 15:11:42+00:00,@Rita_tyna @KhennieNectar @Bi_oluwa_ti_fe @DataFestAfrica Don’t worry I’ll carry my love else where 🥲,malcom_okonkwo,Unknown,0,1,Twitter for iPhone,    dont worry ill carry my love else where 🥲,worry ill carry love else,0.0,Positive
